,CustomerID,Recency,Frequency,Monetary,R,F,M,RFM_Score,Segment
32,12384.0,28,3,566.16,4,3,3,433,Promising
33,12386.0,337,2,401.9,1,2,2,122,At Risk Customers
34,12388.0,15,6,2780.66,4,4,5,445,Champions
35,12390.0,79,1,549.84,2,1,3,213,About To Sleep
36,12391.0,21,1,460.89,4,1,2,412,Low Spenders
37,12393.0,71,4,1582.6000000000001,2,4,4,244,At Risk Customers
38,12394.0,63,2,1272.48,3,2,4,324,Potential Loyalists
39,12395.0,15,15,2998.28,4,5,5,455,Champions
40,12397.0,35,2,2409.9,3,2,5,325,Need Attention
41,12398.0,45,1,1635.6599999999999,3,1,4,314,Need Attention
42,12399.0,118,4,1108.65,2,4,4,244,At Risk Customers
43,12401.0,302,1,84.3,1,1,1,111,Hibernating
44,12402.0,322,1,225.6,1,1,1,111,Hibernating
45,12403.0,49,2,409.7,3,2,2,322,Low Spenders
46,12405.0,148,1,1710.39,2,1,4,214,Need Attention
47,12406.0,21,3,3280.75,4,3,5,435,Promising
48,12407.0,49,5,1708.1200000000001,3,4,4,344,Loyal Customers
49,12408.0,32,9,2842.57,3,5,5,355,Loyal Customers
50,12409.0,78,7,11056.93,2,4,5,245,At Risk Customers
51,12410.0,300,3,681.0799999999999,1,3,3,133,At Risk Customers
52,12412.0,74,3,1226.88,2,3,4,234,At Risk Customers
53,12413.0,66,5,694.15,3,4,3,343,Loyal Customers
54,12414.0,216,3,562.41,1,3,3,133,At Risk Customers
55,12415.0,23,25,123725.45,4,5,5,455,Champions
56,12417.0,2,12,3578.8,5,5,5,555,Champions
57,12418.0,112,1,668.58,2,1,3,213,About To Sleep
58,12420.0,63,1,600.39,3,1,3,313,About To Sleep
59,12421.0,15,5,806.27,4,4,3,443,Loyal Customers
60,12422.0,95,3,803.5600000000001,2,3,3,233,At Risk Customers
61,12423.0,0,9,1849.11,5,5,4,554,Champions
62,12424.0,162,1,1760.96,2,1,4,214,Need Attention
63,12425.0,77,1,777.2,2,1,3,213,About To Sleep
64,12426.0,194,1,582.73,1,1,3,113,At Risk Customers
65,12427.0,11,5,708.37,4,4,3,443,Loyal Customers
66,12428.0,25,12,7877.2,4,5,5,455,Champions
67,12429.0,8,4,3750.4,5,4,5,545,Champions
68,12430.0,42,1,256.4,3,1,2,312,Low Spenders
69,12431.0,35,18,6416.39,3,5,5,355,Loyal Customers
70,12432.0,42,5,5059.32,3,4,5,345,Loyal Customers
71,12433.0,0,7,13375.87,5,4,5,545,Champions
72,12434.0,84,4,765.19,2,4,3,243,At Risk Customers
73,12435.0,79,2,7829.89,2,2,5,225,Need Attention
74,12436.0,99,1,509.01,2,1,3,213,About To Sleep
75,12437.0,1,19,4896.66,5,5,5,555,Champions
76,12438.0,13,2,2906.85,4,2,5,425,Promising
77,12441.0,366,1,173.55,1,1,1,111,Hibernating
78,12442.0,2,1,172.06,5,1,1,511,New Customers
79,12444.0,20,5,5005.46,4,4,5,445,Champions
80,12445.0,21,1,133.4,4,1,1,411,Low Spenders
81,12446.0,57,1,1002.3100000000001,3,1,4,314,Need Attention
82,12447.0,242,1,476.49,1,1,3,113,At Risk Customers
83,12448.0,43,1,449.45,3,1,2,312,Low Spenders
84,12449.0,21,4,4067.29,4,4,5,445,Champions
85,12450.0,155,2,197.88,2,2,1,221,About To Sleep
86,12451.0,10,6,8933.52,5,4,5,545,Champions
87,12452.0,16,3,428.57,4,3,2,432,Low Spenders
88,12453.0,133,1,707.09,2,1,3,213,About To Sleep
89,12454.0,52,2,5.684341886080802e-14,3,2,1,321,Low Spenders
90,12455.0,72,6,2466.86,2,4,5,245,At Risk Customers
91,12456.0,43,4,3153.89,3,4,5,345,Loyal Customers
92,12457.0,57,11,1917.78,3,5,4,354,Loyal Customers
93,12458.0,70,2,947.4,3,2,4,324,Potential Loyalists
94,12461.0,93,2,826.88,2,2,3,223,About To Sleep
95,12462.0,1,4,1124.01,5,4,4,544,Champions
96,12463.0,45,7,1303.63,3,4,4,344,Loyal Customers
97,12464.0,9,8,1212.05,5,5,4,554,Champions
98,12465.0,7,3,733.89,5,3,3,533,Promising
99,12468.0,142,3,724.0400000000001,2,3,3,233,At Risk Customers
100,12471.0,1,49,18740.92,5,5,5,555,Champions
101,12472.0,30,13,6229.48,4,5,5,455,Champions
102,12473.0,28,9,2848.23,4,5,5,455,Champions
103,12474.0,16,30,7116.47,4,5,5,455,Champions
104,12475.0,53,1,723.38,3,1,3,313,About To Sleep
105,12476.0,0,20,6546.58,5,5,5,555,Champions
106,12477.0,22,9,13117.01,4,5,5,455,Champions
107,12478.0,3,1,680.99,5,1,3,513,Promising
108,12479.0,3,3,477.3,5,3,3,533,Promising
109,12480.0,27,4,3281.63,4,4,5,445,Champions
110,12481.0,22,11,5590.86,4,5,5,455,Champions
111,12483.0,16,13,2327.13,4,5,5,455,Champions
112,12484.0,32,8,4495.27,3,5,5,355,Loyal Customers
113,12488.0,9,3,1298.66,5,3,4,534,Promising
114,12489.0,335,1,334.93,1,1,2,112,At Risk Customers
115,12490.0,4,10,5417.93,5,5,5,555,Champions
116,12491.0,38,1,460.40000000000003,3,1,2,312,Low Spenders
117,12492.0,62,2,263.21000000000004,3,2,2,322,Low Spenders
118,12493.0,165,3,416.79,2,3,2,232,At Risk Customers
119,12494.0,9,12,1139.3500000000001,5,5,4,554,Champions
120,12497.0,81,1,1043.1,2,1,4,214,Need Attention
121,12498.0,20,3,403.70000000000005,4,3,2,432,Low Spenders
122,12500.0,22,13,4206.27,4,5,5,455,Champions
123,12501.0,314,2,2089.68,1,2,5,125,At Risk Customers
124,12502.0,95,5,3723.87,2,4,5,245,At Risk Customers
125,12503.0,337,1,-1126.0,1,1,1,111,Hibernating
126,12504.0,17,4,114.0,4,4,1,441,Low Spenders
127,12505.0,300,1,-4.5,1,1,1,111,Hibernating
128,12506.0,232,1,73.5,1,1,1,111,Hibernating
129,12507.0,133,4,1258.06,2,4,4,244,At Risk Customers
130,12508.0,25,2,398.27,4,2,2,422,Low Spenders
131,12509.0,283,1,176.5,1,1,1,111,Hibernating
132,12510.0,142,2,982.5699999999999,2,2,4,224,Need Attention
133,12512.0,65,2,138.03,3,2,1,321,Low Spenders
134,12513.0,84,2,586.79,2,2,3,223,About To Sleep
135,12514.0,266,1,1017.68,1,1,4,114,At Risk Customers
136,12515.0,352,1,383.7,1,1,2,112,At Risk Customers
137,12516.0,77,2,1312.06,2,2,4,224,Need Attention
138,12517.0,27,6,2464.89,4,4,5,445,Champions
139,12518.0,0,5,2056.89,5,4,5,545,Champions
140,12519.0,63,1,340.84,3,1,2,312,Low Spenders
141,12520.0,78,6,2582.51,2,4,5,245,At Risk Customers
142,12521.0,142,1,599.68,2,1,3,213,About To Sleep
143,12522.0,38,2,192.72,3,2,1,321,Low Spenders
144,12523.0,1,13,1745.57,5,5,4,554,Champions
145,12524.0,8,8,4485.72,5,5,5,555,Champions
146,12526.0,0,3,1316.66,5,3,4,534,Promising
147,12527.0,81,3,348.71000000000004,2,3,2,232,At Risk Customers
148,12528.0,8,8,1922.28,5,5,4,554,Champions
149,12530.0,59,5,1623.63,3,4,4,344,Loyal Customers
150,12531.0,14,1,125.22,4,1,1,411,Low Spenders
151,12532.0,29,1,349.83000000000004,4,1,2,412,Low Spenders
152,12534.0,130,1,1089.18,2,1,4,214,Need Attention
153,12535.0,91,2,716.35,2,2,3,223,About To Sleep
154,12536.0,7,5,4106.82,5,4,5,545,Champions
155,12538.0,28,1,363.95,4,1,2,412,Low Spenders
156,12539.0,21,5,3852.5,4,4,5,445,Champions
157,12540.0,19,19,13309.039999999999,4,5,5,455,Champions
158,12541.0,29,3,981.18,4,3,4,434,Promising
159,12544.0,29,2,355.7,4,2,2,422,Low Spenders
160,12545.0,74,2,1000.39,2,2,4,224,Need Attention
161,12546.0,46,3,1141.5,3,3,4,334,Loyal Customers
162,12547.0,197,2,207.79999999999998,1,2,1,121,Hibernating
163,12548.0,165,1,95.19999999999999,2,1,1,211,About To Sleep
164,12550.0,78,1,964.83,2,1,4,214,Need Attention
165,12551.0,357,1,168.0,1,1,1,111,Hibernating
166,12552.0,38,2,437.82,3,2,2,322,Low Spenders
167,12553.0,7,14,3652.25,5,5,5,555,Champions
168,12556.0,49,2,603.71,3,2,3,323,Potential Loyalists
169,12557.0,15,5,11990.960000000001,4,4,5,445,Champions
170,12558.0,1,2,1.0658141036401503e-14,5,2,1,521,Low Spenders
171,12559.0,310,3,536.21,1,3,3,133,At Risk Customers
172,12560.0,4,4,2101.39,5,4,5,545,Champions
173,12561.0,302,1,238.85,1,1,2,112,At Risk Customers
174,12562.0,7,7,3781.7400000000002,5,4,5,545,Champions
175,12564.0,260,1,456.9,1,1,2,112,At Risk Customers
176,12565.0,281,2,131.17,1,2,1,121,Hibernating
177,12566.0,72,2,346.7,2,2,2,222,About To Sleep
178,12567.0,22,11,9114.94,4,5,5,455,Champions
179,12569.0,1,33,4064.9900000000002,5,5,5,555,Champions
180,12571.0,39,2,519.61,3,2,3,323,Potential Loyalists
181,12572.0,8,3,1004.72,5,3,4,534,Promising
182,12573.0,226,1,160.54000000000002,1,1,1,111,Hibernating
183,12574.0,315,1,218.45,1,1,1,111,Hibernating
184,12576.0,35,6,1306.98,3,4,4,344,Loyal Customers
185,12577.0,34,4,595.4,3,4,3,343,Loyal Customers
186,12578.0,20,4,2753.36,4,4,5,445,Champions
187,12579.0,72,3,410.72,2,3,2,232,At Risk Customers
188,12580.0,246,1,415.7,1,1,2,112,At Risk Customers
189,12581.0,39,1,197.71,3,1,1,311,Low Spenders
190,12582.0,238,2,511.36,1,2,3,123,At Risk Customers
191,12583.0,2,18,7187.34,5,5,5,555,Champions
192,12584.0,3,18,1893.95,5,5,4,554,Champions
193,12585.0,233,4,1982.81,1,4,4,144,At Risk Customers
194,12586.0,16,2,179.94000000000003,4,2,1,421,Low Spenders
195,12587.0,7,1,144.0,5,1,1,511,New Customers
196,12588.0,38,1,214.89999999999998,3,1,1,311,Low Spenders
197,12589.0,28,2,646.68,4,2,3,423,Promising
198,12590.0,189,3,9861.38,1,3,5,135,At Risk Customers
199,12591.0,316,1,452.84999999999997,1,1,2,112,At Risk Customers
200,12592.0,91,2,437.6,2,2,2,222,About To Sleep
201,12593.0,108,3,418.09999999999997,2,3,2,232,At Risk Customers
202,12594.0,37,11,3320.2200000000003,3,5,5,355,Loyal Customers
203,12596.0,50,2,618.27,3,2,3,323,Potential Loyalists
204,12597.0,18,5,3683.13,4,4,5,445,Champions
205,12598.0,9,9,3002.68,5,5,5,555,Champions
206,12599.0,28,7,1032.58,4,4,4,444,Champions
207,12600.0,28,11,2581.04,4,5,5,455,Champions
208,12601.0,189,6,569.5600000000001,1,4,3,143,At Risk Customers
209,12602.0,58,1,153.12,3,1,1,311,Low Spenders
210,12603.0,21,1,739.1999999999999,4,1,3,413,Promising
211,12604.0,78,2,254.18,2,2,2,222,About To Sleep
212,12605.0,364,1,-7.5,1,1,1,111,Hibernating
213,12607.0,57,2,3.552713678800501e-15,3,2,1,321,Low Spenders
214,12609.0,77,3,1126.85,2,3,4,234,At Risk Customers
215,12610.0,22,7,2057.99,4,4,5,445,Champions
216,12611.0,51,1,1193.32,3,1,4,314,Need Attention
217,12612.0,57,2,643.59,3,2,3,323,Potential Loyalists
218,12613.0,30,6,3218.98,4,4,5,445,Champions
219,12614.0,277,1,315.6,1,1,2,112,At Risk Customers
220,12615.0,1,4,2291.19,5,4,5,545,Champions
221,12616.0,84,5,657.25,2,4,3,243,At Risk Customers
222,12617.0,28,1,355.53,4,1,2,412,Low Spenders
223,12618.0,21,1,177.31,4,1,1,411,Low Spenders
224,12619.0,15,13,3214.81,4,5,5,455,Champions
225,12620.0,14,3,1339.41,4,3,4,434,Promising
226,12621.0,1,23,13612.07,5,5,5,555,Champions
227,12622.0,231,1,180.1,1,1,1,111,Hibernating
228,12623.0,275,1,305.1,1,1,2,112,At Risk Customers
229,12624.0,105,2,641.13,2,2,3,223,About To Sleep
230,12625.0,211,3,2614.32,1,3,5,135,At Risk Customers
231,12626.0,22,13,6388.35,4,5,5,455,Champions
232,12627.0,10,7,4478.53,5,5,5,555,Champions
233,12628.0,3,4,769.61,5,4,3,543,Loyal Customers
234,12630.0,9,2,1270.88,5,2,4,524,Promising
235,12631.0,56,1,640.5,3,1,3,313,About To Sleep
236,12633.0,58,5,2140.63,3,4,5,345,Loyal Customers
237,12635.0,89,2,1689.18,2,2,4,224,Need Attention
238,12637.0,66,11,5953.25,3,5,5,355,Loyal Customers
239,12638.0,32,1,671.69,3,1,3,313,About To Sleep
240,12639.0,238,1,486.1,1,1,3,113,At Risk Customers
241,12640.0,23,3,1174.58,4,3,4,434,Promising
242,12641.0,114,1,185.9,2,1,1,211,About To Sleep
243,12642.0,24,3,1013.26,4,3,4,434,Promising
244,12643.0,127,6,3344.64,2,4,5,245,At Risk Customers
245,12644.0,129,1,477.91,2,1,3,213,About To Sleep
246,12645.0,33,5,1755.38,3,4,4,344,Loyal Customers
247,12646.0,4,2,1346.97,5,2,4,524,Promising
248,12647.0,21,13,3669.92,4,5,5,455,Champions
249,12648.0,154,1,318.05,2,1,2,212,About To Sleep
250,12649.0,106,4,603.71,2,4,3,243,At Risk Customers
251,12650.0,2,1,314.44,5,1,2,512,New Customers
252,12651.0,334,1,114.0,1,1,1,111,Hibernating
253,12652.0,321,2,914.53,1,2,4,124,At Risk Customers
254,12653.0,148,2,2209.85,2,2,5,225,Need Attention
255,12654.0,10,5,601.98,5,4,3,543,Loyal Customers
256,12656.0,16,8,3982.72,4,5,5,455,Champions
257,12657.0,10,5,1152.06,5,4,4,544,Champions
258,12658.0,18,1,686.05,4,1,3,413,Promising
259,12659.0,29,1,91.68,4,1,1,411,Low Spenders
260,12660.0,10,1,245.1,5,1,2,512,New Customers
261,12662.0,0,12,3817.08,5,5,5,555,Champions
262,12664.0,7,10,4863.88,5,5,5,555,Champions
263,12665.0,324,2,61.75,1,2,1,121,Hibernating
264,12666.0,358,1,-227.44,1,1,1,111,Hibernating
265,12667.0,57,1,620.13,3,1,3,313,About To Sleep
266,12668.0,6,6,3743.18,5,4,5,545,Champions
267,12669.0,150,4,1607.73,2,4,4,244,At Risk Customers
268,12670.0,9,6,2986.15,5,4,5,545,Champions
269,12672.0,329,1,225.89999999999998,1,1,1,111,Hibernating
270,12673.0,4,2,610.52,5,2,3,523,Promising
271,12674.0,11,7,1919.31,4,5,4,454,Champions
272,12676.0,24,6,1331.39,4,4,4,444,Champions
273,12678.0,41,13,17588.26,3,5,5,355,Loyal Customers
274,12679.0,51,9,1058.67,3,5,4,354,Loyal Customers
275,12680.0,0,4,862.81,5,4,3,543,Loyal Customers
276,12681.0,14,27,13677.59,4,5,5,455,Champions
277,12682.0,3,31,12288.22,5,5,5,555,Champions
278,12683.0,3,20,8221.09,5,5,5,555,Champions
279,12684.0,7,7,2283.63,5,5,5,555,Champions
280,12685.0,27,6,2863.08,4,4,5,445,Champions
281,12686.0,371,1,89.14,1,1,1,111,Hibernating
282,12688.0,113,1,4873.8099999999995,2,1,5,215,Need Attention
283,12689.0,25,2,1247.61,4,2,4,424,Promising
284,12690.0,205,1,389.01,1,1,2,112,At Risk Customers
285,12691.0,27,6,1035.8,4,4,4,444,Champions
286,12693.0,120,6,830.96,2,4,3,243,At Risk Customers
287,12694.0,69,2,869.67,3,2,3,323,Potential Loyalists
288,12695.0,6,4,582.1,5,4,3,543,Loyal Customers
289,12697.0,20,5,939.02,4,4,4,444,Champions
290,12700.0,7,6,4867.99,5,4,5,545,Champions
291,12701.0,79,2,797.71,2,2,3,223,About To Sleep
292,12702.0,19,1,219.0,4,1,1,411,Low Spenders
293,12703.0,63,2,274.7,3,2,2,322,Low Spenders
294,12704.0,6,10,2220.84,5,5,5,555,Champions
295,12705.0,14,14,6814.24,4,5,5,455,Champions
296,12707.0,291,1,603.42,1,1,3,113,At Risk Customers
297,12708.0,29,16,2616.32,4,5,5,455,Champions
298,12709.0,2,26,9294.1,5,5,5,555,Champions
299,12710.0,96,4,1130.57,2,4,4,244,At Risk Customers
300,12712.0,22,17,4241.63,4,5,5,455,Champions
301,12713.0,0,1,848.55,5,1,3,513,Promising
302,12714.0,8,5,4708.86,5,4,5,545,Champions
303,12715.0,105,1,353.86,2,1,2,212,About To Sleep
304,12716.0,3,2,1053.49,5,2,4,524,Promising
305,12717.0,150,3,980.98,2,3,4,234,At Risk Customers
306,12718.0,70,1,238.25,3,1,2,312,Low Spenders
307,12719.0,4,3,608.1,5,3,3,533,Promising
308,12720.0,2,29,5713.28,5,5,5,555,Champions
309,12721.0,31,7,2628.98,4,5,5,455,Champions
310,12722.0,84,6,904.33,2,4,3,243,At Risk Customers
311,12723.0,3,5,725.07,5,4,3,543,Loyal Customers
312,12724.0,4,4,1031.41,5,4,4,544,Champions
313,12725.0,370,1,427.8,1,1,2,112,At Risk Customers
314,12726.0,27,7,2609.1,4,5,5,455,Champions
315,12727.0,10,9,3947.7,5,5,5,555,Champions
316,12728.0,70,4,836.33,3,4,3,343,Loyal Customers
317,12729.0,113,1,453.01,2,1,2,212,About To Sleep
318,12731.0,23,14,18793.41,4,5,5,455,Champions
319,12732.0,179,1,236.26000000000002,1,1,2,112,At Risk Customers
320,12733.0,233,1,383.95,1,1,2,112,At Risk Customers
321,12734.0,352,1,110.39999999999999,1,1,1,111,Hibernating
322,12735.0,314,2,779.5699999999999,1,2,3,123,At Risk Customers
323,12736.0,332,1,234.0,1,1,1,111,Hibernating
324,12738.0,371,1,155.35,1,1,1,111,Hibernating
325,12739.0,77,2,1013.04,2,2,4,224,Need Attention
326,12740.0,63,1,427.6,3,1,2,312,Low Spenders
327,12743.0,133,2,546.43,2,2,3,223,About To Sleep
328,12744.0,51,10,9120.39,3,5,5,355,Loyal Customers
329,12747.0,1,11,4196.01,5,5,5,555,Champions
330,12748.0,0,225,29072.1,5,5,5,555,Champions
331,12749.0,3,8,3868.2,5,5,5,555,Champions
332,12750.0,128,1,275.88,2,1,2,212,About To Sleep
333,12752.0,80,1,4366.78,2,1,5,215,Need Attention
334,12753.0,3,11,21024.01,5,5,5,555,Champions
335,12754.0,235,6,2949.12,1,4,5,145,At Risk Customers
336,12755.0,249,4,2203.2,1,4,5,145,At Risk Customers
337,12756.0,86,1,112.07999999999998,2,1,1,211,About To Sleep
338,12757.0,15,19,4227.7,4,5,5,455,Champions
339,12758.0,116,2,2791.59,2,2,5,225,Need Attention
340,12759.0,51,3,1531.44,3,3,4,334,Loyal Customers
341,12762.0,7,2,1898.52,5,2,4,524,Promising
342,12763.0,137,2,494.08,2,2,3,223,About To Sleep
343,12764.0,316,1,1693.88,1,1,4,114,At Risk Customers
344,12766.0,3,7,6989.63,5,5,5,555,Champions
345,12769.0,238,1,1143.6,1,1,4,114,At Risk Customers
346,12770.0,210,1,1351.45,1,1,4,114,At Risk Customers
347,12772.0,59,1,892.47,3,1,3,313,About To Sleep
348,12775.0,16,6,1351.24,4,4,4,444,Champions
349,12778.0,19,7,804.23,4,5,3,453,Loyal Customers
350,12779.0,20,12,3868.7,4,5,5,455,Champions
351,12781.0,20,5,707.72,4,4,3,443,Loyal Customers
352,12782.0,4,6,2273.32,5,4,5,545,Champions
353,12783.0,1,8,1603.87,5,5,4,554,Champions
354,12784.0,8,2,574.42,5,2,3,523,Promising
355,12785.0,2,2,305.71,5,2,2,522,Low Spenders
356,12787.0,9,3,463.66,5,3,2,532,Low Spenders
357,12789.0,64,1,91.85,3,1,1,311,Low Spenders
358,12790.0,191,1,324.92,1,1,2,112,At Risk Customers
359,12791.0,373,1,192.60000000000002,1,1,1,111,Hibernating
360,12792.0,256,1,400.53999999999996,1,1,2,112,At Risk Customers
361,12793.0,334,2,545.48,1,2,3,123,At Risk Customers
362,12794.0,52,2,860.41,3,2,3,323,Potential Loyalists
363,12795.0,18,1,430.48,4,1,2,412,Low Spenders
364,12797.0,359,3,194.18,1,3,1,131,Hibernating
365,12798.0,9,3,6977.04,5,3,5,535,Promising
366,12802.0,183,2,412.58,1,2,2,122,At Risk Customers
367,12808.0,36,3,483.65000000000003,3,3,3,333,Loyal Customers
368,12809.0,167,2,484.36,2,2,3,223,About To Sleep
369,12811.0,260,3,514.85,1,3,3,133,At Risk Customers
370,12812.0,44,1,229.64000000000001,3,1,1,311,Low Spenders
371,12814.0,101,1,125.92,2,1,1,211,About To Sleep
372,12815.0,147,2,1063.46,2,2,4,224,Need Attention
373,12816.0,95,2,572.2,2,2,3,223,About To Sleep
374,12817.0,280,1,166.04,1,1,1,111,Hibernating
375,12818.0,177,2,1517.88,2,2,4,224,Need Attention
376,12820.0,2,4,942.34,5,4,4,544,Champions
377,12821.0,213,1,92.72,1,1,1,111,Hibernating
378,12822.0,70,3,918.98,3,3,4,334,Loyal Customers
379,12823.0,74,5,1759.5,2,4,4,244,At Risk Customers
380,12824.0,59,1,397.12,3,1,2,312,Low Spenders
381,12826.0,2,8,1468.1200000000001,5,5,4,554,Champions
382,12827.0,5,3,430.15000000000003,5,3,2,532,Low Spenders
383,12828.0,2,6,1018.71,5,4,4,544,Champions
384,12829.0,321,3,253.05,1,3,2,132,At Risk Customers
385,12830.0,37,7,6748.4,3,5,5,355,Loyal Customers
386,12831.0,261,1,215.05,1,1,1,111,Hibernating
387,12832.0,31,2,383.03,4,2,2,422,Low Spenders
388,12833.0,144,1,417.38,2,1,2,212,About To Sleep
389,12834.0,282,1,312.38,1,1,2,112,At Risk Customers
390,12836.0,58,5,2612.86,3,4,5,345,Loyal Customers
391,12837.0,172,1,134.1,2,1,1,211,About To Sleep
392,12838.0,33,2,683.13,3,2,3,323,Potential Loyalists
393,12839.0,2,16,5583.62,5,5,5,555,Champions
394,12840.0,143,6,2714.27,2,4,5,245,At Risk Customers
395,12841.0,4,25,3876.4,5,5,5,555,Champions
396,12842.0,69,2,1118.99,3,2,4,324,Potential Loyalists
397,12843.0,65,9,1680.76,3,5,4,354,Loyal Customers
398,12844.0,28,2,325.96000000000004,4,2,2,422,Low Spenders
399,12845.0,266,4,354.09,1,4,2,142,At Risk Customers
400,12847.0,21,1,871.54,4,1,3,413,Promising
401,12849.0,30,2,1050.8899999999999,4,2,4,424,Promising
402,12851.0,96,1,135.18,2,1,1,211,About To Sleep
403,12852.0,289,2,299.75,1,2,2,122,At Risk Customers
404,12853.0,107,9,1881.7,2,5,4,254,At Risk Customers
405,12854.0,78,5,1289.15,2,4,4,244,At Risk Customers
406,12855.0,372,1,38.1,1,1,1,111,Hibernating
407,12856.0,7,8,2162.68,5,5,5,555,Champions
408,12857.0,210,2,1106.4,1,2,4,124,At Risk Customers
409,12863.0,51,2,504.2,3,2,3,323,Potential Loyalists
410,12864.0,137,1,147.12,2,1,1,211,About To Sleep
411,12865.0,25,3,1548.07,4,3,4,434,Promising
412,12866.0,282,1,559.12,1,1,3,113,At Risk Customers
413,12867.0,25,10,3986.22,4,5,5,455,Champions
414,12868.0,185,6,1607.0600000000002,1,4,4,144,At Risk Customers
415,12870.0,365,1,-14.899999999999999,1,1,1,111,Hibernating
416,12871.0,83,2,380.64,2,2,2,222,About To Sleep
417,12872.0,326,2,599.97,1,2,3,123,At Risk Customers
418,12873.0,281,1,374.0,1,1,2,112,At Risk Customers
419,12875.0,142,2,343.2300000000001,2,2,2,222,About To Sleep
420,12876.0,57,2,2218.02,3,2,5,325,Need Attention
421,12877.0,3,12,1535.77,5,5,4,554,Champions
422,12878.0,17,3,841.64,4,3,3,433,Promising
423,12879.0,44,4,552.5699999999999,3,4,3,343,Loyal Customers
424,12881.0,275,1,298.0,1,1,2,112,At Risk Customers
425,12882.0,8,2,1463.04,5,2,4,524,Promising
426,12883.0,24,4,703.47,4,4,3,443,Loyal Customers
427,12884.0,87,1,309.05,2,1,2,212,About To Sleep
428,12885.0,62,4,1158.27,3,4,4,344,Loyal Customers
429,12886.0,67,3,1351.09,3,3,4,334,Loyal Customers
430,12888.0,213,4,313.77,1,4,2,142,At Risk Customers
431,12890.0,23,1,380.46999999999997,4,1,2,412,Low Spenders
432,12891.0,185,3,331.0,1,3,2,132,At Risk Customers
433,12893.0,30,1,188.14,4,1,1,411,Low Spenders
434,12895.0,41,3,347.3,3,3,2,332,Low Spenders
435,12897.0,204,2,216.5,1,2,1,121,Hibernating
436,12901.0,8,36,16293.1,5,5,5,555,Champions
437,12902.0,264,1,138.68,1,1,1,111,Hibernating
438,12904.0,17,2,509.58,4,2,3,423,Promising
439,12906.0,11,4,2919.81,4,4,5,445,Champions
440,12908.0,58,4,246.0,3,4,2,342,Low Spenders
441,12909.0,39,8,2128.83,3,5,5,355,Loyal Customers
442,12910.0,22,8,3075.04,4,5,5,455,Champions
443,12912.0,2,5,1662.3,5,4,4,544,Champions
444,12913.0,4,5,2483.63,5,4,5,545,Champions
445,12915.0,148,2,363.65,2,2,2,222,About To Sleep
446,12916.0,138,5,2982.35,2,4,5,245,At Risk Customers
447,12917.0,127,1,594.0,2,1,3,213,About To Sleep
448,12919.0,7,8,1301.44,5,5,4,554,Champions
449,12920.0,16,1,164.23,4,1,1,411,Low Spenders
450,12921.0,3,49,16389.74,5,5,5,555,Champions
451,12922.0,160,1,405.38,2,1,2,212,About To Sleep
452,12923.0,63,1,176.97,3,1,1,311,Low Spenders
453,12924.0,87,5,929.95,2,4,4,244,At Risk Customers
454,12925.0,4,2,694.05,5,2,3,523,Promising
455,12928.0,34,5,2062.7000000000003,3,4,5,345,Loyal Customers
456,12929.0,121,2,105.1,2,2,1,221,About To Sleep
457,12930.0,77,4,409.9,2,4,2,242,At Risk Customers
458,12931.0,21,20,33462.81,4,5,5,455,Champions
459,12933.0,23,4,606.28,4,4,3,443,Loyal Customers
460,12935.0,1,8,2156.45,5,5,5,555,Champions
